60,0.278688525,8.508196721,19.72131148,16,0,7,1,1839,35,969,196,29,0,14,3,30,0,14,2,23,0,1,26,400,0,0,7,147,23,101,743
32,0.375,4.96875,17.8125,2,0,1,0,728,8,449,27,11,1,6,0,8,1,4,0,20,0,2,3,600,90,1,21.4,522,26,90,782
89,0.277777778,2.177777778,21.67777778,163,1,100,7,3994,74,2220,384,355,5,220,16,199,4,113,12,33,0,1,52,500,0,0,43,193,106,90,1444
11,0.188650794,7.443333333,12.02071429,20,1,1,14,67,5,17,30,25,2,2,14,27,1,5,16,39,1,2,16,300,0,1,7,281,23,62,254
65,0.276923077,9.015384615,17.04615385,32,2,18,6,537,24,190,141,18,0,4,3,7,0,1,2,59,0,2,23,900,0,1,28.6,453,23,62,1891
53,0.206762578,5.935498034,20.47584446,18,1,9,1,231,8,92,60,67,5,19,20,80,6,24,26,30,0,1,40,400,20,1,6.2,29,106,90,2135
21,0.333333333,9.904761905,15,8,0,4,1,176,5,126,13,13,2,11,2,9,0,7,0,25,0,1,27,0,110,1,27.8,1580,106,90,782
11,0.272727273,13.81818182,14.81818182,5,0,2,2,317,24,115,105,50,8,15,26,24,3,10,11,52,1,1,24,700,110,1,43,601,73,216,962
48,0.265306122,8.816326531,14.10204082,57,1,24,11,514,12,283,56,33,0,12,5,6,0,2,1,25,0,1,63,600,0,1,28,701,59,216,198
3,0.666666667,15,16.33333333,2,0,1,1,59,6,15,21,7,0,1,3,3,0,1,2,43,0,2,14,0,0,1,37,449,73,216,1573
17,0.236794974,12.1867482,17.83815156,3,0,2,0,19,1,9,3,3,1,2,1,2,1,2,1,40,0,2,5,300,10,1,21.4,397,23,216,584
88,0.280898876,4.91011236,20.8988764,130,5,89,5,3504,103,2006,463,186,9,114,13,189,6,104,27,34,0,1,42,900,50,1,7,426,68,100,2076
1,0,21,21,5,0,1,1,35,2,14,4,9,1,3,1,7,0,3,0,19,0,0,13,900,40,1,43,295,73,216,959
