21,0.285714286,6.428571429,19.28571429,20,2,12,2,1288,56,716,126,43,4,25,5,481,23,295,44,23,0,1,50,300,370,1,20,33,66,216,659,0
54,0.296296296,7.592592593,20.48148148,188,3,84,27,546,28,173,141,91,3,16,23,125,2,39,30,35,1,2,50,0,10,1,7,79,73,100,216,0
75,0.25,7.407894737,17.31578947,11,0,7,0,154,3,87,4,10,0,6,0,50,0,28,3,28,0,1,16,500,0,1,21.4,605,106,90,237,0
85,0.290697674,2.709302326,20.70930233,131,2,83,4,2469,38,1383,248,189,3,114,11,160,5,85,16,30,0,1,77,400,120,0,27.8,253,106,90,2092,0
85,0.279069767,3.058139535,22.13953488,75,2,48,3,4577,183,2804,546,142,2,90,7,181,3,132,8,44,1,1,73,900,20,1,34.6,453,68,62,491,0
88,0.280898876,6.157303371,17.96629213,71,3,40,4,923,51,457,139,43,6,15,11,83,10,39,17,67,1,2,22,300,0,1,7,633,68,100,1468,1
86,0.298850575,2.045977011,22.3908046,94,3,30,17,2686,138,1272,506,81,3,30,11,50,7,33,11,45,0,1,76,700,0,1,43,554,68,216,1612,1
19,0.4,13.3,15.35,12,0,2,3,42,3,9,11,8,0,1,3,15,0,2,7,36,1,2,10,700,160,1,43,336,23,99,1956,1
92,0.279569892,1.010752688,22.22580645,81,0,55,1,2230,49,1455,126,193,6,127,8,116,3,74,3,25,0,1,40,300,240,1,28.6,608,29,62,527,0
85,0.290697674,2.651162791,22.22093023,70,1,39,6,12748,438,7744,1435,186,4,118,12,178,5,119,20,36.6,0.2,2,59.4,400,62,0,32.6,638,68,62,82,1
89,0.277777778,0.922222222,16.56666667,109,4,46,30,687,36,283,165,81,5,30,24,64,4,31,9,32,0,1,69,300,410,1,26,277,73,110,2207,0
78,0.291139241,2.607594937,21.81012658,62,2,33,3,956,12,565,47,169,3,87,9,94,1,58,5,34,0,2,71,600,170,0,43,872,106,90,83,0
24,0.333333333,5.708333333,21.83333333,90,0,54,9,1395,49,739,240,138,2,77,20,134,0,83,12,28,0,1,21,700,110,1,19.2,88,66,216,1196,0
72,0.287671233,2.04109589,21.63013699,80,1,48,6,4412,77,2630,431,166,2,88,21,147,2,80,24,22,0,2,76,0,20,0,43,344,106,90,782,1
23,0.260869565,5.869565217,19.04347826,172,8,77,34,3850,192,1566,1029,215,11,97,52,83,2,34,22,24,0,1,66,500,0,0,7,242,68,100,895,0
89,0.277777778,4.266666667,22.18888889,102,4,69,12,8367,239,4948,995,160,9,82,33,124,7,52,21,18,0,1,42,300,0,1,21.4,563,106,90,2279,0
92,0.279569892,0.258064516,22.68817204,4,0,4,0,415,3,253,16,6,0,3,1,11,0,4,0,32,0,2,31,300,160,0,14.2,603,30,90,592,1
31,0.290322581,10.06451613,18.61290323,64,6,29,14,2089,140,890,518,112,10,35,31,95,7,26,24,40,0,1,67,200,10,1,43,64,68,110,278,1
61,0.295081967,5.983606557,20.81967213,201,6,142,4,3615,84,2482,173,604,10,430,21,153,4,110,9,23,0,2,66,800,40,1,43,822,78,100,1736,0
4,0,8.75,13.5,17.4,0.4,9,1.6,6,0,1,0,2,0,2,0,3,0,2,1,20,0.6,2,7,800,50,1,43,10,29,216,659,1
84,0.294117647,5.729411765,19.2,21,0,12,1,1156,22,755,52,41,0,28,1,32,0,22,1,21,0,2,51,900,10,1,35.8,577,73,81,587,0
85,0.294117647,7.411764706,19.03529412,30,2,13,6,4836,290,2104,1091,96,8,40,25,95,5,32,25,41,0,2,65,900,0,0,28.6,555,68,100,1813,1
85,0.279069767,6.034883721,18.56976744,1,0,1,0,583,8,331,46,5,0,4,0,12,0,8,0,24,0,1,11,900,0,1,21.4,2054,29,62,1039,1
92,0.279569892,1.075268817,22.06451613,24,1,17,1,1303,59,825,104,112,3,79,2,94,1,64,0,29,0,1,25,300,10,0,43,539,30,90,237,0
59,0.322033898,4.016949153,21.6779661,30,4,13,5,2117,136,1015,368,99,9,32,23,233,16,144,37,47,0,2,64,600,620,0,27,418,68,100,1761,0
30,0.266666667,1.033333333,21.73333333,153,8,51,49,3705,264,1247,1222,292,13,114,76,103,6,30,38,65,1,2,51,300,50,0,47,324,23,100,1838,1
90,0.263736264,2.318681319,21.75824176,805,7,578,38,8808,261,4332,1848,2112,110,629,845,937,40,374,299,22,0,2,69,200,0,1,24,605,68,216,202,0
90,0.285714286,7.450549451,20.42857143,172,9,80,42,5740,275,3099,940,225,25,100,81,127,6,57,33,29.8,0.2,2,65.6,360,60,0,28.6,653,68,216,1128,1
34,0.257142857,12.97142857,19.28571429,11,1,4,3,350,5,200,30,17,0,3,3,50,2,28,3,26,0,1,13,300,380,1,43,631,66,40,662,1
75,0.263157895,8.039473684,19.75,225,15,80,71,1595,96,637,401,243,12,71,71,144,5,53,28,18,0,1,62,400,0,1,43,640,23,216,1211,0
35,0.285714286,13.25714286,21,143,14,24,40,520,33,137,133,34,2,5,6,36,5,7,5,58,0.4,2,3,200,120,1,22.8,41,29,216,1729,1
92,0.279569892,0.053763441,22.94623656,71,2,40,2,1653,25,965,104,130,0,81,3,89,3,52,5,28,0,2,104,500,240,1,20.6,287,106,90,1277,1
68,0.323529412,8.852941176,16.44117647,96,3,58,6,376,12,223,42,26,1,15,1,7,0,5,0,46,0.4,2,59,600,0,1,21.2,1573,68,110,986,0
71,0.263888889,6.083333333,21.59722222,69,0,45,3,1247,39,803,102,148,3,103,12,95,1,63,10,21,0.2,2,6,700,10,1,22.8,195,30,90,1610,0
35,0.257142857,8.857142857,19.08571429,48,8,23,9,1136,69,587,224,77,11,39,17,17,2,7,5,21,0,1,9,500,360,1,7,434,23,62,621,0
47,0.29787234,10.04255319,18.42553191,60,0,42,4,1599,39,999,148,139,2,93,8,101,2,67,6,33,0,2,61,600,0,1,7,652,29,110,159,0
79,0.275,10.6375,20.475,246,0,33,52,1570,35,392,508,150,2,26,51,147,3,19,64,60,1,2,10,400,0,1,28.6,573,30,90,1189,1
92,0.279569892,0.419354839,22.03225806,354,9,227,35,3810,137,2057,594,414,11,235,62,381,10,205,69,31,0,2,71,500,20,1,14.2,181,106,90,327,0
43,0.348837209,9.11627907,19.11627907,181,12,62,69,2069,106,471,876,151,6,17,80,86,5,11,51,25,1,1,61,600,0,1,27.2,611,68,110,1247,1
20,0.35,9.5,18.3,130,9,57,34,685,30,299,178,116,4,57,22,72,3,39,16,70,0.4,1,75,200,0,1,17.6,73,23,216,1211,1
11,0.272727273,10.18181818,19.36363636,10,0,3,1,51,4,19,13,9,1,4,1,1,0,1,1,69,1,2,2,800,0,1,20,39,29,100,845,1
66,0.268656716,7.149253731,20.29850746,212,6,94,49,2174,100,881,596,509,30,134,229,169,7,65,54,48,0.2,2,74,900,0,1,15.2,418,68,222,147,0
91,0.282608696,1.663043478,22.19565217,48,0,24,7,2079,54,1138,265,268,3,141,35,368,11,181,64,26,0,2,18,100,20,0,43,381,26,90,592,0
84,0.282352941,2.976470588,21.64705882,32,0,19,3,1503,72,866,206,98,3,58,9,155,4,98,13,23,0,1,141,400,40,1,29.4,491,106,90,782,0
89,0.288888889,2.877777778,21.81111111,20,0,13,0,2314,55,1326,308,55,0,26,1,124,2,74,12,26,0,2,72,800,100,1,43,729,26,90,1610,0
27,0.333333333,2.407407407,20.81481481,277,14,166,39,3596,164,1930,582,250,10,137,34,206,6,126,23,20,0,1,46,300,0,1,14,86,66,100,1395,0
84,0.270588235,8.258823529,19.74117647,76,0,45,5,1079,25,618,94,195,5,96,21,84,2,50,6,28,0,2,20,900,90,1,7,603,30,90,772,0
89,0.277777778,2.422222222,21.77777778,64,2,42,7,1308,36,657,220,84,0,47,8,107,2,59,15,24,0,1,80,300,10,1,31.2,196,68,216,932,0
